firstName,lastName,phoneNumber,email,,Order ID,Product,Quantity,Price per unit,Total
Consuelo,Miller,831-564-2765,aiyana87@turcotte.biz,,1001,iPhone 12 Pro Max,2,"$1,099","$2,198"
Nikolas,Goodwin,(713) 883-6115,keeling.esmeralda@hotmail.com,,1002,Bose QuietComfort Earbuds,1,$279,$279
Jaida,Feest,870-326-9607,pnienow@yahoo.com,,1003,Kindle Paperwhite,3,$129,$387
German,Torp,(954) 277-4032,bweber@yahoo.com,,1004,Instant Pot Duo,4,$99,$396
Rosemarie,Witting,+1.385.340.3035,xturner@hotmail.com,,1005,Samsung 55-inch 4K Smart TV,1,$899,$899
Veronica,D'Amore,+1 (360) 567-6011,klein.carmella@nikolaus.biz,,1006,Fitbit Versa 3,2,$229,$458
Price,Farrell,801-208-6323,tschuster@yahoo.com,,1007,Sony WH-1000XM4 Headphones,1,$348,$348
Stanley,Bradtke,+1 (539) 590-9244,cmills@hotmail.com,,1008,iPad Pro 12.9-inch,1,"$1,099","$1,099"
Nico,Rogahn,770.652.0380,ucarroll@schneider.com,,1009,Apple Watch Series 6,1,$399,$399
Lorena,Lowe,470.472.4400,richie35@gmail.com,,1010,Shark Navigator Lift-Away Vacuum,2,$199,$398
Kayli,Abshire,+1 (520) 264-9454,valentin.krajcik@yahoo.com,,1011,Echo Dot (3rd Gen),5,$49,$245
Eldon,Corwin,586.960.1340,stark.marvin@hotmail.com,,1012,Philips Sonicare Toothbrush,1,$119,$119
Ryann,Zieme,18308839837,haag.demetris@crooks.org,,1013,MacBook Air M1,1,$999,$999
Dee,Greenholt,215-873-9820,terrence49@leffler.info,,1014,Anker PowerCore Portable Charger,2,$49,$98
Gregg,Anderson,1-702-548-3123,terry.josie@ohara.info,,1015,LG 27-inch Ultragear Gaming Monitor,1,$449,$449
Oceane,Hessel,726.705.4154,dward@gmail.com,,1016,JBL Flip 5 Portable Speaker,3,$119,$357
Ole,Cartwright,901-445-6927,curt.oconnell@yahoo.com,,1017,Dyson V11 Animal Cordless Vacuum,1,$599,$599
Edwardo,Deckow,484.450.8194,feeney.ulices@emmerich.org,,1018,Microsoft Surface Laptop 4,1,"$1,299","$1,299"
Monte,West,+1.602.597.9280,bednar.deshawn@dare.com,,1019,GoPro Hero9 Black,1,$449,$449
Ruthe,Macejkovic,385-367-7709,piper.haag@labadie.com,,1020,Canon EOS R6 Mirrorless Camera,1,"$2,499","$2,499"
Karine,Metz,986-702-5655,london98@yahoo.com,,1021,Sony Alpha a7 III Mirrorless Camera,1,"$1,999","$1,999"
Breanne,Powlowski,417.366.8517,eulalia81@langworth.com,,1022,Nintendo Switch OLED Model,2,$349,$698
Abe,Reichel,1-585-541-5027,brisa69@yahoo.com,,1023,Apple AirPods Pro,3,$249,$747
Karelle,Pfeffer,17655813596,isabell25@hotmail.com,,1024,Oculus Quest 2 VR Headset,1,$299,$299
Mack,Dach,(843) 639-8854,smcglynn@hotmail.com,,1025,Garmin Forerunner 945,1,$599,$599
Yvonne,Kub,+1.936.224.7522,markus.bechtelar@altenwerth.com,,1026,Razer Blade 15 Gaming Laptop,1,"$1,999","$1,999"
Cleo,Yost,757.364.3736,ryleigh54@schimmel.com,,1027,Samsung Galaxy S21 Ultra 5G,2,"$1,199","$2,398"
Cleora,Krajcik,304.706.2771,loyal.dicki@yahoo.com,,1028,ASUS ROG Swift 27-inch Gaming Monitor,1,$799,$799
Earlene,Daugherty,+1.727.892.3636,audreanne66@yahoo.com,,1029,Vizio 65-inch OLED 4K Smart TV,1,"$1,999","$1,999"
Sam,Mante,13379330359,dante43@leffler.com,,1030,HP Spectre x360 2-in-1 Laptop,1,"$1,399","$1,399"
