firstName,lastName,phoneNumber,email,Order ID,Restaurant,Total Items,Total Cost,Delivery Address,Order Date
Consuelo,Miller,831-564-2765,aiyana87@turcotte.biz,1001,McDonald's,2,$12.50,"123 Main St, Anytown, USA",3/15/22
Nikolas,Goodwin,(713) 883-6115,keeling.esmeralda@hotmail.com,1002,Chipotle,3,$28.75,"456 Maple Ave, Anytown, USA",3/16/22
Jaida,Feest,870-326-9607,pnienow@yahoo.com,1003,Panda Express,2,$18.50,"789 Oak St, Anytown, USA",3/17/22
German,Torp,(954) 277-4032,bweber@yahoo.com,1004,Subway,1,$8.75,"321 Elm St, Anytown, USA",3/18/22
Rosemarie,Witting,+1.385.340.3035,xturner@hotmail.com,1005,Domino's Pizza,2,$22.00,"555 Pine St, Anytown, USA",3/19/22
Veronica,D'Amore,+1 (360) 567-6011,klein.carmella@nikolaus.biz,1006,KFC,4,$32.25,"777 Cedar Ave, Anytown, USA",3/20/22
Price,Farrell,801-208-6323,tschuster@yahoo.com,1007,Starbucks,1,$6.50,"888 Oak St, Anytown, USA",3/21/22
Stanley,Bradtke,+1 (539) 590-9244,cmills@hotmail.com,1008,Shake Shack,2,$23.50,"333 Maple Ave, Anytown, USA",3/22/22
Nico,Rogahn,770.652.0380,ucarroll@schneider.com,1009,Five Guys,3,$27.75,"444 Pine St, Anytown, USA",3/23/22
Lorena,Lowe,470.472.4400,richie35@gmail.com,1010,Pizza Hut,1,$12.50,"999 Main St, Anytown, USA",3/24/22
Kayli,Abshire,+1 (520) 264-9454,valentin.krajcik@yahoo.com,1011,Jimmy John's,2,$16.50,"777 Maple Ave, Anytown, USA",3/25/22
Eldon,Corwin,586.960.1340,stark.marvin@hotmail.com,1012,Subway,1,$8.75,"111 Cedar Ave, Anytown, USA",3/26/22
Ryann,Zieme,18308839837,haag.demetris@crooks.org,1013,Taco Bell,2,$13.50,"222 Oak St, Anytown, USA",3/27/22
Dee,Greenholt,215-873-9820,terrence49@leffler.info,1014,Chick-fil-A,3,$24.75,"444 Elm St, Anytown, USA",3/28/22
